,Group,Point,mean_rank,measures
563,ST53,L1044,68.5,2
564,ST53,L1204,118.5,2
565,ST53,L1205,63.0,2
566,ST73,F0101,80.0,2
567,ST73,F0102,68.0,2
568,ST73,L1204,49.0,2
569,ST73,L1205,74.0,2
570,ST73,R004,40.5,2
571,ST018,F0604,14.0,2
572,ST018,F0605,6.0,2
573,ST018,F0702,9.0,2
574,ST018,F0704,34.5,2
575,ST018,F0705,29.5,2
576,ST018,F0802,51.0,2
577,ST018,F0903,19.5,2
578,ST018,F0904,17.0,2
579,ST018,R059,22.0,2
580,ST018,R060,24.5,2
581,ST018,R061,34.5,2
582,ST018,R064,9.0,2
583,ST018,R067,89.5,2
584,ST018,R068,73.5,2
585,ST018,R069,72.0,2
586,ST018,R078,26.5,2
587,ST018,R079,9.0,2
588,ST018,R083,23.5,2
589,ST018,R085,28.5,2
590,ST018,U08F11,77.5,2
591,ST018,U08F8,75.0,2
592,ST019,F0604,23.5,2
593,ST019,F0605,29.0,2
594,ST019,F0702,22.5,2
595,ST019,F0704,14.0,2
596,ST019,F0705,23.5,2
597,ST019,R052,16.5,2
598,ST019,R059,42.5,2
599,ST019,R060,45.0,2
600,ST019,R061,79.5,2
601,ST019,R064,28.0,2
602,ST019,R067,33.5,2
603,ST019,R069,25.5,2
604,ST019,R078,12.5,2
605,ST019,U08F11,28.5,2
606,ST019,U08F8,11.5,2
607,ST020,F0503,28.0,2
608,ST020,F0505,28.5,2
609,ST020,F0604,28.5,2
610,ST020,F0605,37.5,2
611,ST020,F0702,33.0,2
612,ST020,F0704,31.5,2
613,ST020,F0705,25.5,2
614,ST020,R045,27.0,2
615,ST020,R052,32.5,2
616,ST020,R059,43.0,2
617,ST020,R060,27.0,2
618,ST020,R061,11.0,2
619,ST020,R064,43.0,2
620,ST020,R067,34.5,2
621,ST020,R069,43.5,2
622,ST020,R078,21.5,2
623,ST020,U08F8,30.5,2
624,ST021,F0503,29.5,2
625,ST021,F0505,41.5,2
626,ST021,F0604,39.0,2
627,ST021,F0605,39.0,2
628,ST021,F0702,35.5,2
629,ST021,F0704,26.0,2
630,ST021,F0705,17.5,2
631,ST021,R045,22.0,2
632,ST021,R046,28.5,2
633,ST021,R048,29.0,2
634,ST021,R052,47.5,2
635,ST021,R059,45.5,2
636,ST021,R060,26.5,2
637,ST021,R061,31.0,2
638,ST021,R064,38.0,2
639,ST021,R067,27.5,2
640,ST021,R069,25.5,2
641,ST021,U08F8,16.0,2
642,ST022,F0402,35.0,2
643,ST022,F0503,21.5,2
644,ST022,F0505,28.5,2
645,ST022,F0604,27.0,2
646,ST022,F0605,40.0,2
647,ST022,F0702,20.5,2
648,ST022,F0704,29.0,2
649,ST022,F0705,23.5,2
650,ST022,R035,31.0,2
651,ST022,R045,27.0,2
652,ST022,R046,73.5,2
653,ST022,R048,59.0,2
654,ST022,R052,23.0,2
655,ST022,R059,32.0,2
656,ST022,U08F8,22.5,2
657,ST023,F0402,31.0,2
658,ST023,F0503,43.5,2
659,ST023,F0505,13.5,2
