,Group,Point,m_distance,rank,measures
1486,ST68,L0901,1408.8748310845717,56.0,2.0
1487,ST68,L0902,1353.7711982129008,93.0,2.0
1488,ST68,L0906,2726.3918763384763,25.5,2.0
1489,ST68,L1063,3251.720526339946,60.5,2.0
1490,ST68,L0823,3664.1033683139503,43.0,2.0
1491,ST68,L0824,7039.4890931541795,76.0,2.0
1493,ST69,F1001,6813.699013377491,41.5,2.0
1496,ST69,R098,13371.28162618091,47.0,2.0
1497,ST69,R103,17255.433299530403,49.0,2.0
1498,ST69,L0901,1931.172000150552,70.5,2.0
1499,ST69,L0902,1898.901361198071,90.0,2.0
1500,ST69,L0904,1604.6242967743408,103.5,2.0
1501,ST69,L0905,1623.977736583433,80.0,2.0
1502,ST69,L0906,3099.999171547807,64.5,2.0
1503,ST69,L1063,3571.6922206483023,60.0,2.0
1504,ST69,L0835,13618.524885306719,60.0,2.0
1505,ST69,L0826,6046.494063393517,87.5,2.0
1506,ST69,L0907,4183.649954303642,88.0,2.0
1507,ST69,L0823,2669.234191071627,68.0,2.0
